file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
_DSC3867-2_Original.jpeg,2:1,0,20,100,60,Grey heron standing on rocky outcrop with clear sky in background,Centered heron with balanced negative space; dramatic vertical symmetry works well in wide crop,8,_DSC4006_Original.jpeg
_DSC4006_Original.jpeg,16:9,0,10,100,80,Silhouette of a heron on a rock during a vibrant orange sunset,"Strong silhouette with captivating warm sky, works beautifully as a cinematic widescreen",9,_DSC3867-2_Original.jpeg
_DSC4686_Original.jpeg,3:2,0,10,100,80,Flock of birds perched on a rope above calm blue ocean water,Dynamic composition with flying birds adds movement to a tranquil blue scene,8,"_DSC4692_Original.jpeg, _DSC4697_Original.jpeg"
_DSC4692_Original.jpeg,2:3,30,10,40,80,Line of seabirds resting on a marine rope against ocean water,"Strong vertical crop isolates the subject rhythmically, emphasizing repetition",7,"_DSC4697_Original.jpeg, _DSC4686_Original.jpeg"
_DSC4697_Original.jpeg,4:3,10,10,80,80,Seabird mid-flight landing on rope above ocean,Captures a moment of flight; balanced action and subject across rule-of-thirds,8,"_DSC4686_Original.jpeg, _DSC4692_Original.jpeg"
_DSC4707_Original.jpeg,5:4,10,20,80,70,Seabird flying low above the ocean with wings spread wide,Beautiful motion and minimalism; works well in near-square classic print ratio,7,_DSC4713_Original.jpeg
_DSC4713_Original.jpeg,3:4,10,10,80,90,Back view of bird landing on rope over open sea,Vertical crop enhances wingspan and downward motion,8,_DSC4707_Original.jpeg
_DSC4716_Original.jpeg,3:2,10,20,80,70,Kittiwake seabird perched on mossy cliffside,Natural contrast between bird and green cliff; balanced texture and subject,7,_DSC6487_Original.jpeg
_DSC6440_Original.jpeg,1:1,25,25,50,50,Atlantic puffin standing proudly on green cliff ledge,Square crop emphasizes charm of puffin; tightly framed to focus on personality,9,_DSC6487_Original.jpeg
_DSC6487_Original.jpeg,4:3,10,10,80,80,Lone puffin on rocky cliff face surrounded by moss and foliage,Strong natural textures and environment; puffin placement ideal in landscape crop,8,_DSC6440_Original.jpeg
