story_slug,file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt_text,reason,score,similar_to

"timelapse","1","Aerial view of city lights at night clouds passing.mp4","Wide 2:1 cinematic night view deserves its own space for impact.","9"
"timelapse","2","Cloudy orange sunset to dark on Mediterranean sea - rejected.mp4,Cloud frame and mountains timelapse - rejected.mp4,Clouds and mountains timelapse.mp4","Mountain + sky + cloud scenes with natural transitions and complementary tones.","8"
"timelapse","3","Cascade of pine tree mountains in the mist.mp4,19090600_1_apo8_prob4.mp4,08154700.mp4","Earthy tones and soft mood, mixing nature and urban geometry.","7"
"timelapse","4","A001_11271315_C025.mp4,A001_11271326_C026.mp4,A001_11271328_C027.mp4","Tall vertical formats, similar architectural style and linear rhythm.","7"
"timelapse","1","Sunset to dark timelapse alongside sea pebbles.mp4","Wide 16:9 cinematic shot deserves a full row to breathe visually","9"
"timelapse","2","IMG_0071.mp4,IMG_9877.mp4,Timelapse Laqlouq.mp4","All vertical or semi-vertical compositions with serene, slow motion","8"
"timelapse","3","Moon moving away dark clouds passing antenna showing_1_apo8_prob4.mp4,Timelapse big sky clouds trespassing the land.mp4,Timelapse clouds covering pine tree forest mountain man-made antenna standing out.mp4","Cloud-focused visuals with similar mood and theme","9"
"timelapse","4","Timelapse clouds passing over huge valley with green trees covering vertical sides (stabilized).mp4,Timelapse clouds,with soil ground in contrast with green forests,large landscape (stabilized).mp4","Landscape timelapses showing earthy tones and wide views","8"
"timelapse","1","Timelapse of clouds hittting mountain peak and disappearing before reaching valley on the other side.mp4","Wide panoramic style and cinematic feel deserves a full row","9"
"timelapse","2","Timelapse of clouds,pine tree forest,road leading to house,mountain in the back.mp4,Timelapse Svaneti Georgia.mp4","Mountain sceneries with road and structure details, similar tones and compositions","8"
"timelapse","3","Timelapse snow and clouds in Tannourine 2.mp4,Timelapse snow and clouds in Tannourine.mp4","Both feature snowy Tannourine with similar cloud movement and colors","8"
