file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_20190122_0009 (41)_Original.jpeg,2:1,0,15,100,70,Vintage photo of hunters with rifles and dog beside car in rural Lebanon,"Crop emphasizes the group of hunters, the car, and the dog while removing unnecessary sky and ground.",9,IMG_20190122_0009 (54)_Original.jpeg
IMG_20190122_0009 (43)_Original (1).jpeg,3:4,15,0,70,100,Back view of three women walking on a sunny road with vintage cars,Vertical crop emphasizes movement and era-specific fashion. Framing guides viewer's eyes along the road.,7,IMG_20190122_0009 (43)_Original.jpeg
IMG_20190122_0009 (43)_Original.jpeg,5:4,10,0,80,100,Woman in retro dress taking a photo in front of classic car and rocky backdrop,Tight crop creates intimacy and highlights both subject and vintage vehicle. Rocky background adds texture.,8,IMG_20190122_0009 (43)_Original (1).jpeg
IMG_20190122_0009 (52)_Original.jpeg,16:9,0,25,100,60,Vintage view of hilltop town with terraced buildings and historical architecture,"Wide crop captures horizontal structure of terraced hills, creating a scenic landscape feel.",8,
IMG_20190122_0009 (54)_Original.jpeg,3:2,10,10,80,80,Retro outdoor café scene with people dining and drinking under the trees,Balanced crop brings focus to couple at center while maintaining café ambiance and framing.,7,IMG_20190122_0009 (41)_Original.jpeg
IMG_20190122_0009 (67)_Original.jpeg,3:4,30,0,40,100,Fountain in historic European square with people standing nearby,Vertical framing brings out grandeur of fountain and interaction of people below.,8,
IMG_20190122_0009 (72)_Original.jpeg,4:3,20,10,60,80,Stylish woman in sunglasses and jacket standing confidently on a rural path,"Focuses on expression, fashion, and pose. Background and path enhance depth and narrative.",8,
IMG_20190122_0009 (74)_Original.jpeg,2:3,0,10,100,80,Close-up architectural detail of ornate European building with statues and columns,Tall crop accentuates the symmetry and vertical lines of the building’s façade.,7,
IMG_20190122_0009 (79)_Original.jpeg,4:3,0,20,100,70,Four men in suits and trench coats posing in flower garden,"Framed tightly to include flowers, path, and group of men for visual symmetry.",7,
IMG_20190122_0009 (80)_Original.jpeg,2:1,0,20,100,60,Monastery perched on rocky cliff with dramatic natural surroundings,Panoramic crop heightens dramatic isolation of monastery atop cliff.,9,
