story_slug,file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt_text,reason,score,similar_to

"forest","_DSC1198_Original.jpeg","2:3","0","0","100","100","Dense winter forest with snow-covered trees in soft blue light","Tall framing suits the vertical tree structure and gives an immersive forest feel.","9","_DSC1226_Original.jpeg,_DSC1456_Original.jpeg"
"forest","_DSC1226_Original.jpeg","3:4","0","0","100","100","Person walking in snow-covered forest under heavy cedar branches","The vertical orientation captures the towering trees and the solitude of the hiker.","8","_DSC1198_Original.jpeg,_DSC1456_Original.jpeg"
"forest","_DSC1456_Original.jpeg","16:9","0","15","100","70","Snow-covered mountain path with hiker and soft sunlight in background","Wide crop enhances the vastness and leading lines created by the footprints.","9","_DSC1226_Original.jpeg,_DSC1198_Original.jpeg"
"forest","_DSC1800_Original.jpeg","3:2","0","0","100","100","Autumn forest trail lined with colorful foliage and fallen leaves","Horizontal crop leads the eye down the path into the golden forest.","8","_DSC1818_Original.jpeg,_DSC1841_Original.jpeg"
"forest","_DSC1818_Original.jpeg","2:1","0","5","100","60","Close-up view of mossy pine tree trunks in dense green forest","Ultra-wide crop emphasizes the repetition and symmetry of tree trunks.","8","_DSC1819_Original.jpeg,_DSC1800_Original.jpeg"
"forest","_DSC1819_Original.jpeg","5:4","10","0","80","100","Person walking through forest path with golden light filtering through trees","Balanced vertical crop captures depth and leading path through tall pines.","8","_DSC1818_Original.jpeg,_DSC1822_Original.jpeg"
"forest","_DSC1822_Original.jpeg","4:3","0","0","100","100","Winding forest trail curving between coniferous trees in early autumn","Classic landscape crop emphasizes curve of the trail and forest density.","7","_DSC1819_Original.jpeg,_DSC1860_Original.jpeg"
"forest","_DSC1841_Original.jpeg","1:1","25","0","50","100","Balanced view down a forest path with autumn light and tree textures","Square crop creates symmetry and balances foliage density with open path.","7","_DSC1800_Original.jpeg,_DSC1822_Original.jpeg"
"forest","_DSC1860_Original.jpeg","9:16","25","0","50","100","Tall vertical forest with winding gravel trail disappearing into trees","Tall crop emphasizes the towering forest and distant perspective of the trail.","8","_DSC1819_Original.jpeg,_DSC1822_Original.jpeg"
"forest","_DSC3640-2_Original.jpeg","16:9","0","20","100","60","Cedar-covered mountain with snow patches and green rolling hills","Wide landscape format captures both sky and terrain for context and grandeur.","9",""
"forest","_DSC8423_Original.jpeg","2:1","0","30","100","50","Twisted trees on rocky mountain slope in dense blue fog","Wide crop emphasizes the minimalist and atmospheric mood with strong leading slope line.","9","_DSC9917_Original.jpeg,IMG_4055.jpeg"
"forest","_DSC9631_Original.jpeg","3:2","0","0","100","100","Snow-covered cedar tree branches in dramatic winter night lighting","Full-frame crop captures texture and abstract geometry of snow-covered limbs.","8","_DSC9917_Original.jpeg,IMG_4057.jpeg"
"forest","_DSC9917_Original.jpeg","16:9","0","10","100","80","Foggy cedar forest with soft gradients of blue and green","Wide cinematic crop enhances the dreamy layering of forest shapes in fog.","9","_DSC8423_Original.jpeg,IMG_4055.jpeg"
"forest","DSC_0201.jpeg","3:2","0","20","100","80","Sunset glow through tall pine forest with mountain silhouette","Balanced crop gives breathing room to foreground silhouettes and glowing sky.","8","IMG_20191013_113229.jpeg"
"forest","DSC09599_Original.jpeg","16:9","0","15","100","70","Clouds rolling over lush green forested mountainside","Cinematic feel fits the drifting cloud motion and dense green contrast.","9","_DSC9917_Original.jpeg,IMG_4055.jpeg"
"forest","IMG_0736.jpeg","4:3","0","10","100","90","River bend framed by autumn reeds and bare trees reflecting in water","Classic crop to preserve horizontal reflections and seasonal layering.","8","IMG_20190504_120815.jpeg"
"forest","IMG_4055.jpeg","3:2","0","5","100","90","Moody fog forest with dense trunks and glowing mist","Crop balances depth with strong verticality and atmospheric mystery.","9","_DSC8423_Original.jpeg,_DSC9917_Original.jpeg"
"forest","IMG_4057.jpeg","2:3","0","0","100","100","Foggy forest clearing with tree silhouettes in soft winter light","Tall framing adds visual height and emphasizes vertical tree lines.","7","IMG_4055.jpeg,_DSC9631_Original.jpeg"
"forest","IMG_20190504_120815.jpeg","3:4","0","0","100","100","Early spring trail with hikers walking under leafless tree canopy","Vertical crop emphasizes the human journey and long canopy view.","8","IMG_0736.jpeg"
"forest","IMG_20191013_113229.jpeg","4:3","0","0","100","100","Colorful fall canopy with sunlight filtering through golden and orange leaves","Perfect composition preserved with warm seasonal tones filling the frame.","9","DSC_0201.jpeg"
