file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
_DSC1198_Original.jpeg,2:3,0,0,100,100,Dense winter forest with snow-covered trees in soft blue light,Tall framing suits the vertical tree structure and gives an immersive forest feel.,9,"_DSC1226_Original.jpeg,_DSC1456_Original.jpeg"
_DSC1226_Original.jpeg,3:4,0,0,100,100,Person walking in snow-covered forest under heavy cedar branches,The vertical orientation captures the towering trees and the solitude of the hiker.,8,"_DSC1198_Original.jpeg,_DSC1456_Original.jpeg"
_DSC1456_Original.jpeg,16:9,0,15,100,70,Snow-covered mountain path with hiker and soft sunlight in background,Wide crop enhances the vastness and leading lines created by the footprints.,9,"_DSC1226_Original.jpeg,_DSC1198_Original.jpeg"
_DSC1800_Original.jpeg,3:2,0,0,100,100,Autumn forest trail lined with colorful foliage and fallen leaves,Horizontal crop leads the eye down the path into the golden forest.,8,"_DSC1818_Original.jpeg,_DSC1841_Original.jpeg"
_DSC1818_Original.jpeg,2:1,0,5,100,60,Close-up view of mossy pine tree trunks in dense green forest,Ultra-wide crop emphasizes the repetition and symmetry of tree trunks.,8,"_DSC1819_Original.jpeg,_DSC1800_Original.jpeg"
_DSC1819_Original.jpeg,5:4,10,0,80,100,Person walking through forest path with golden light filtering through trees,Balanced vertical crop captures depth and leading path through tall pines.,8,"_DSC1818_Original.jpeg,_DSC1822_Original.jpeg"
_DSC1822_Original.jpeg,4:3,0,0,100,100,Winding forest trail curving between coniferous trees in early autumn,Classic landscape crop emphasizes curve of the trail and forest density.,7,"_DSC1819_Original.jpeg,_DSC1860_Original.jpeg"
_DSC1841_Original.jpeg,1:1,25,0,50,100,Balanced view down a forest path with autumn light and tree textures,Square crop creates symmetry and balances foliage density with open path.,7,"_DSC1800_Original.jpeg,_DSC1822_Original.jpeg"
_DSC1860_Original.jpeg,9:16,25,0,50,100,Tall vertical forest with winding gravel trail disappearing into trees,Tall crop emphasizes the towering forest and distant perspective of the trail.,8,"_DSC1819_Original.jpeg,_DSC1822_Original.jpeg"
_DSC3640-2_Original.jpeg,16:9,0,20,100,60,Cedar-covered mountain with snow patches and green rolling hills,Wide landscape format captures both sky and terrain for context and grandeur.,9,
