file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_9030.jpeg,4:3,10,0,80,100,Fresh fig tart being sliced by hand on wooden table,"Cropped to emphasize the fig details and hands, focusing on action and texture.",9,
IMG_9322.jpeg,3:2,10,10,80,80,Scrambled eggs with tomato and toasted bread on a white plate,Balanced crop to include both toast and eggs while maintaining strong overhead composition.,7,
IMG_9342.jpeg,1:1,20,10,60,60,Unbaked strawberry cake batter with berries in the center,Square crop brings out the round shape and soft swirl of the batter.,7,
IMG_9589.jpeg,3:4,0,10,100,90,Hand beside bowl of spaghetti on placemat with cutlery,Tall format emphasizes dining setup and intimacy of the moment.,7,
IMG_0221.jpeg,4:3,10,0,80,90,"Freshly harvested purple tomatoes, beets, and root vegetables on a plate",Natural light enhances texture of the produce—centered crop frames variety clearly.,8,
IMG_1129.jpeg,3:2,10,0,80,100,"Close-up of vibrant fruit salad with oranges, raspberries, and blueberries",Rich color palette and fruit arrangement create an eye-catching centered view.,9,IMG_1132.jpeg
IMG_1132.jpeg,5:4,10,10,80,80,"Plate with cheese rolls, raspberries, oranges, and blueberries",Maintains plate symmetry and variety of textures while keeping it tidy.,8,IMG_1129.jpeg
IMG_1175.jpeg,16:9,0,20,100,60,Shrimp grilling on a Breville electric grill with visible steam,Wide crop emphasizes repetition and motion of grilled shrimp.,9,
IMG_0363.jpeg,2:3,20,10,60,90,Baked cheese pizza with olives and scallions on a wooden board,Vertical crop enhances texture and leading lines of pizza slice.,8,
IMG_0601.jpeg,4:3,0,10,100,80,Flatbread dough rolled out on parchment paper in a wooden tray,Good use of light and shadow with a centered subject and minimal distractions.,7,
