file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_20181013_0035.jpeg,2:1,0,25,100,50,Vintage photo of a woman beside a classic car with European architecture in the background,"The wide crop focuses on both the car and the woman while preserving the grand building behind, creating a balanced composition with historical storytelling.",9,
IMG_20190122_0009 (3)_Original.jpeg,4:3,0,15,100,70,Women picking wildflowers near a rural road with vintage cars and buildings,"This crop enhances the visual flow from the road curving into the background, with the women and cars drawing the eye naturally.",8,
IMG_20190122_0009 (5)_Original.jpeg,3:4,10,0,80,100,Child holding a sparkler with adult support in a wicker chair indoors,"The portrait crop centers the action, emphasizing the child's expression and the sparkler’s light burst.",7,
IMG_20190122_0009 (7)_Original.jpeg,3:2,10,10,80,80,Little girl lifted above a crowd outside a church holding decorative candles,"This balanced crop centers the girl and includes festive candles and people’s expressions, conveying cultural celebration.",8,
IMG_20190122_0009 (10)_Original.jpeg,4:3,0,0,100,100,Three women by a lakeside dressed in 1950s summer fashion,The natural curve of the body postures and the lake behind create a harmonious triangular composition.,9,IMG_20190122_0009 (21)_Original.jpeg
IMG_20190122_0009 (16)_Original.jpeg,16:9,0,30,100,50,Children playing on a sandy beach with waves crashing in the background,"The wide crop frames the beach and waves with children in the foreground, perfect for storytelling about seaside moments.",9,IMG_20190122_0009 (24)_Original.jpeg
IMG_20190122_0009 (18)_Original (1).jpeg,1:1,25,0,50,100,Man thinking over a chessboard in dramatic lighting,A square crop focuses on the thoughtful expression and chessboard while capturing the play of light and shadow.,8,
IMG_20190122_0009 (21)_Original.jpeg,3:2,0,0,100,100,Children lounging and chatting on a sandy beach,"A full-frame crop captures relaxed body language and the beach environment, complementing other beach shots.",8,IMG_20190122_0009 (16)_Original.jpeg
IMG_20190122_0009 (24)_Original.jpeg,2:1,0,30,100,40,Family decorating a Christmas tree with vintage ornaments and ladder,"A wide crop captures the collective activity and height of the tree, evoking festive family traditions.",9,
IMG_20190122_0009 (18)_Original.jpeg,5:4,10,10,80,80,Clocktower with flags and symmetrical architecture,Symmetry of the clocktower and the position of the flags is best emphasized by this close but full crop.,7,
