file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_20190122_0009 (7)_Original.jpeg,3:2,10,15,80,70,Vintage photo of a child on shoulders at a religious procession with candles and olive branches,"Cropped to focus on the child, candles, and the ornate entrance, eliminating excess crowd while keeping symmetry.",8.5,IMG_20190122_0009 (21)_Original.jpeg
IMG_20190122_0009 (10)_Original.jpeg,4:3,5,5,90,90,Three women by the lake in vintage dresses smiling and posing outdoors,Cropped to emphasize the women’s expressions and balance between foreground and background.,8.8,
IMG_20190122_0009 (13)_Original.jpeg,2:1,0,20,100,60,Roman Forum ruins with ancient columns and buildings in the distance,A wide crop enhances the grandeur and historic depth of the Forum with a cinematic feel.,9.3,
IMG_20190122_0009 (18)_Original.jpeg,3:4,20,5,60,90,Man playing chess in deep thought beside a sunlit wall,"Portrait-style crop captures mood, lighting, and focus of the chess player.",8.2,IMG_20190122_0009 (29)_Original.jpeg
IMG_20190122_0009 (21)_Original.jpeg,5:4,5,10,90,80,Women decorating a Christmas tree with vintage ornaments indoors,Cropped for symmetry and to emphasize the festive activity at the center.,7.9,IMG_20190122_0009 (7)_Original.jpeg
IMG_20190122_0009 (25)_Original.jpeg,3:2,10,5,80,90,Young woman sitting among pine trees in a vintage striped dress,Emphasizes solitude and the vertical rhythm of the trees surrounding the subject.,8.7,
IMG_20190122_0009 (27)_Original.jpeg,16:9,0,30,100,50,Vintage train approaching in the distance with child watching from tracks,Wide panoramic crop to highlight the train tracks as leading lines and create cinematic tension.,9.5,
IMG_20190122_0009 (28)_Original (1).jpeg,1:1,10,10,80,80,Children playing with a toy train in a hallway,"Square crop draws focus to the kids’ faces and toys, creating a nostalgic, centered scene.",8.4,
IMG_20190122_0009 (28)_Original.jpeg,4:3,5,10,90,80,"Three men playing chess, deeply focused, with a time clock on a table",Balanced framing of the trio creates a visual triangle and storytelling composition.,8.6,IMG_20190122_0009 (18)_Original.jpeg
IMG_20190122_0009 (29)_Original.jpeg,1:1,20,10,60,80,Vase with flowers on a vintage side table next to a wrapped gift,Centered crop isolates the floral composition and vintage texture on the wall.,7.5,IMG_20190122_0009 (18)_Original.jpeg
