file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_20190122_0009 (25)_Original.jpeg,3:2,10,0,80,100,Young woman sitting thoughtfully among tall pine trees in the forest,The crop emphasizes vertical lines of the forest and her contemplative pose in the bottom corner for a tranquil mood.,9,
IMG_20190122_0009 (27)_Original.jpeg,16:9,0,20,100,60,Child watching a steam train in the distance along railway tracks in town,"Strong leading lines from the tracks pull the eye into the distance, perfect for a cinematic crop.",9,
IMG_20190122_0009 (27)_Original (1).jpeg,3:2,10,10,80,80,Three well-dressed men walking together in 1950s city street,This crop puts the three men front and center while including enough background to show the urban setting.,8,
IMG_20190122_0009 (30)_Original.jpeg,2:1,0,20,100,60,Women and children walking barefoot on the beach with waves in the distance,"A wide crop captures both human interaction and the expansive shoreline, evoking freedom and nostalgia.",9,
IMG_20190122_0009 (33)_Original.jpeg,4:3,0,0,100,100,Smiling woman riding a decorated horse in the countryside,"Centered crop captures both the subject and the horse’s expression, balanced with natural surroundings.",8,
IMG_20190122_0009 (36)_Original.jpeg,3:2,10,10,80,80,Two women working together in a rustic garden near a stone wall,Crop captures symmetry and movement between the women and emphasizes rustic textures of the wall and garden.,8,
IMG_20190122_0009 (36)_Original (1).jpeg,5:4,0,10,100,80,People picking wildflowers on a daisy-covered hill under a dramatic sky,This crop captures the silhouettes and textures of the hill while letting the clouds dominate the composition.,9,
IMG_20190122_0009 (39)_Original.jpeg,16:9,0,25,100,50,Gondoliers navigating narrow canals in front of historic Venice hotel,"Perfect for a cinematic travel or architecture piece, this crop captures depth and urban history.",10,
IMG_20190122_0009 (40)_Original.jpeg,2:3,20,10,60,90,Flamenco dancer in traditional dress performing on ship deck with audience,"Vertical crop focuses on the energy of the dancer and her ruffled dress, adding a sense of motion.",9,IMG_20190122_0009 (40)_Original (1).jpeg
IMG_20190122_0009 (40)_Original (1).jpeg,3:4,15,0,70,100,Woman dancing flamenco on ship deck as onlookers enjoy the performance,"Captures the dancer mid-step and the joy of the audience, creating energy and cultural atmosphere.",9,IMG_20190122_0009 (40)_Original.jpeg
