file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_6753.jpeg,2:1,0,15,100,70,"Fresh manakish with za'atar, cheese, grilled asparagus, cherry tomatoes and basil leaves on a white plate",Wide crop captures the balance between the manakish varieties and fresh veggies; good leading lines with asparagus and tomato placement.,9,"IMG_7170.jpeg,IMG_7905.jpeg"
IMG_7170.jpeg,4:3,10,10,80,80,Mini flatbread pizza topped with tomato meat sauce and melted cheese on a white plate,Centered crop enhances the vibrant topping and texture of the crust; nice contrast with background colors.,8,IMG_6753.jpeg
IMG_7593.jpeg,3:4,35,0,30,100,Close-up of hand holding a fresh raspberry in front of green raspberry bush,"Vertical crop highlights the hand-fruit-subject relationship and textures, leading lines from fingers.",8,
IMG_7614.jpeg,3:2,10,10,80,80,Lentil and broccoli salad in metal bowl at outdoor swimming pool setting,"Balanced crop keeps bowl and environment in frame, enhancing context and color contrast.",7,IMG_7700.jpeg
IMG_7700.jpeg,5:4,5,10,90,80,"Creamy pasta with asparagus, green onions and herbs topped with crushed nuts",Crop draws focus to pasta details while maintaining balance of toppings; earthy tones work well.,8,IMG_7614.jpeg
IMG_7751.jpeg,1:1,15,10,70,70,"Snack box with hummus, fresh cucumbers, broccoli, cauliflower, and almonds on blue cloth","Square crop centers the bento-like snack box and gives a clean, graphic feel.",7,
IMG_7778.jpeg,9:16,20,0,60,100,Grilled corn on the cob with char marks held near a lake view,"Tall crop emphasizes the length of the corn with background bokeh from lake, draws eye upward.",7,
IMG_7905.jpeg,4:3,10,20,80,70,Grilled zucchini sandwich with cherry tomatoes on toasted bread,"Crop keeps focus on sandwich structure and tomato arrangement, good color layering.",8,IMG_6753.jpeg
IMG_7921.jpeg,1:1,20,20,60,60,Fresh strawberries with melted chocolate for dipping,"Square format centers the strawberries and dip, intensifying color contrast and snack appeal.",8,
IMG_7943.jpeg,16:9,0,20,100,60,Colorful harvest of tomatoes and cucumbers spread on a wooden table,"Wide crop best showcases abundance and variety of produce, with clear horizontal alignment.",9,
